name,category_code,status,funding_total_usd
Wetpaint,web,operating,39750000
FriendFeed,web,acquired,5000000
Fitbit,health,operating,68069200
MTPV,cleantech,operating,10125293
Demandbase,analytics,operating,33000000
Locatrix Communications,mobile,operating,250000
iHireHelp,education,operating,100000
Cardiosolutions,medical,operating,11300000
Blend Biosciences,biotech,operating,2800000
Wevod,games_video,operating,414840
Balance Financial,enterprise,operating,1500000
Wikinvest,web,operating,2500000
Solectria Renewables,cleantech,operating,2100000
Jumptap,mobile,acquired,121500000
Jogabo,games_video,operating,40000
Courion Corporation,software,operating,840000
PlayPhone,games_video,operating,95097200
Rupture,games_video,acquired,3000000
Birdpost,web,operating,350000
Ambitious Minds,education,operating,559522
iCharts,analytics,operating,3100000
Attunity,software,ipo,10500000
FairSoftware,web,closed,100000
AMAX Global Services,software,operating,45000
The Local,news,operating,3933515
Tingz,software,operating,280000
SellABand,games_video,closed,5000000
Gazelle,ecommerce,operating,46400000
Icount.com,government,operating,182500
Rev Worldwide,ecommerce,operating,4815940
Tonchidot,mobile,operating,16000000
HammerKit,web,closed,1613875
MetaPack,software,operating,30772029
Eqvilibria,other,operating,720000
Sportsvite,web,operating,4350000
SideTour,web,acquired,4000000
ChatID,mobile,operating,3268000
PGP TrustCenter,security,operating,8500000
ChoicePass,enterprise,acquired,250000
Producteev,software,acquired,1310000
TradeCard,enterprise,acquired,44925050
Links Global,finance,operating,22000000
Twonq,web,operating,800000
VintnersÃ¢Â€Â™ Alliance,advertising,operating,1300000
Striiv,hardware,operating,6000000
Vestaron Corporation,biotech,operating,10200000
Vidacare,hardware,acquired,274999
agencyQ,advertising,operating,1600000
"ITOG, Inc.",network_hosting,closed,205000
Finestrella,finance,operating,13800000
AdRocket,advertising,operating,1000000
StudioNow,photo_video,acquired,15286415
Brand.net,advertising,operating,27000000
Cartera Commerce,advertising,operating,37570663
Burt,advertising,operating,3500000
sarvaMAIL,security,closed,250000
VideoSurf,hardware,acquired,28000000
Tesaris,software,operating,230000
My Best Interest,software,closed,375000
Transmit,software,operating,450000
Yammer,enterprise,acquired,142000000
GoodGuide,web,acquired,14229998
GoPlanit,web,operating,500000
Conjecta,finance,operating,100000
Supponor,other,operating,26251500
FaceTags,photo_video,closed,15000
C2FO,software,operating,27100000
Fon,mobile,operating,57735800
PostPath,web,acquired,24300000
Where I've Been,travel,acquired,1750000
JibJab,web,operating,17900000
Swype,software,acquired,13900000
Quant the News,web,operating,150000
Advanced Search Laboratories,search,operating,650000
IntroFly,web,operating,75000
Global Crossing,public_relations,acquired,41000000
gopogo,social,closed,3000000
VGo Communications,medical,operating,8829914
Platfora,software,operating,27200000
Infrascale,enterprise,operating,3749964
Steelwedge Software,enterprise,operating,16000000
Oxtex,medical,operating,1037803
WorldOne,analytics,operating,60000000
Mob.ly,mobile,acquired,1100000
iWeb Technologies,network_hosting,acquired,33521974
TimeTrade Systems,enterprise,operating,12322500
Mesmo.tv,games_video,operating,900000
TRUECar,transportation,operating,351600000
Angstro,software,acquired,225000
SHOP.CA,ecommerce,operating,26752221
Text A Cab,transportation,operating,50000
"Thru, Inc.",software,operating,14734000
Golfsmith,,acquired,125000000
WeHostels,travel,acquired,1200000
easyOwn.it,ecommerce,closed,138000
Foodista,hospitality,operating,1300000
Funny Or Die,games_video,operating,18000000
FilterBoxx Water & Environmental,cleantech,operating,9000000
Klatcher,web,closed,150000
Tweegee,games_video,operating,3000000
SoMoLend,finance,operating,5395000
PlayerDuel,mobile,closed,21189
Guavus,analytics,operating,80512816
Routehappy,transportation,operating,1835000
Telespree,software,operating,1000000
Happy Inspector,mobile,operating,895000
FoundValue,web,operating,4750000
Storymix Media,photo_video,operating,155000
Webvanta,public_relations,operating,1682618
Amrit Advanced Biotech,biotech,operating,3242399
LiveProcess Corp.,software,operating,1616176
uSamp,web,operating,29540000
artandseek,other,closed,50000
Aver Informatics,analytics,operating,2475000
Rubicon Project,advertising,operating,60000000
Weight Wins,medical,operating,952578
Intela,advertising,acquired,13250000
Spare Change Payments,web,acquired,509412
NYX Interactive,games_video,operating,7385500
Picateers,web,closed,12100000
SailPoint Technologies,enterprise,operating,25830908
Moozey,mobile,operating,109018
Socure,security,operating,1700000
Bitcasa,enterprise,operating,19500000
Divas Diamond,ecommerce,operating,900000
Red Seraphim,games_video,operating,50000
BubbleLife Media,advertising,operating,50000
Ascension Orthopedics,biotech,acquired,18664050
Whiskey Media,web,acquired,4000000
Team Robot,games_video,operating,25000
TurnTide,,acquired,750000
Balluun,ecommerce,operating,8700000
FitnessKeeper,health,operating,11510000
VoodooVox,mobile,acquired,9650000
CampaignerCRM,software,operating,8000000
ClickN KIDS,education,operating,4000000
Cignis,enterprise,operating,20000
Tremor Video,advertising,ipo,116400000
StickyADStv,advertising,operating,5694085
TapRush,mobile,operating,1200000
Image Space Media,advertising,acquired,3915000
Moviecom.tv,games_video,operating,811057
AppAddictive,advertising,operating,1200000
TapnScrap,mobile,operating,15000
AI Exchange,finance,operating,1500000
JetSuite,transportation,operating,7000000
RF Surgical Systems,medical,operating,12120000
AM-Pharma,biotech,operating,39843400
CURRENT,software,operating,13000000
The Rainmaker Group,software,operating,42800000
Arrien Pharmaceuticals,biotech,operating,2000000
Kwestr,web,operating,57000
CondoDomain,web,acquired,250000
CrushBlvd,social,operating,100000
Abbott Labs,biotech,ipo,100000
gis.to,web,operating,2454
SnapLayout,network_hosting,closed,650000
Big Stage,web,acquired,10600000
M-Files,software,operating,7843200
Emerge Studio,software,operating,100000
Brightblue,software,operating,2309232
Confabb,web,closed,200000
Punchh,mobile,operating,4000000
meQuilibrium,health,operating,2300000
EnerTrac,manufacturing,operating,5200000
Ocision,web,operating,1600000
Nerd Attack,mobile,operating,35000
Milk A Deal,web,operating,165000
Long Tail,mobile,operating,20000
Surphace,web,acquired,3500000
Base79,advertising,operating,14345753
AccuNostics,medical,operating,6321095
RayV,games_video,operating,16030566
Mimosa Systems,software,acquired,53816776
Collective Bias,social,operating,11000000
Pingup,web,operating,4000000
Motorator,ecommerce,operating,160000
Billfish Software,enterprise,operating,500000
orderbolt,software,operating,48501
Anagran,network_hosting,operating,22600000
DebtMarket,finance,acquired,4046884
Fancorps,network_hosting,operating,100000
Uptake,web,acquired,14000000
Niveus Medical,biotech,operating,2365000
Gamerizon Studio,games_video,operating,5000000
Cellogic,mobile,operating,750000
Richard Pauer - 3P,ecommerce,operating,4500000
FanIQ,sports,operating,1008401
Greenphire,software,operating,5806037
Zkatter,mobile,operating,1500000
YouCaring,nonprofit,operating,100000
Reputation.com,web,operating,67650000
Personalis,biotech,operating,42000000
ConnectSolutions,enterprise,operating,10000000
K2 Media,finance,operating,7500000
Hoppit,search,acquired,500000
Cocrystal Discovery,biotech,operating,7500000
West World Media,news,operating,22500000
Polyvore,web,operating,22100000
3scale,enterprise,operating,5000000
TravelTriangle,travel,operating,200000
COGEON,education,operating,296384
Nomadesk,enterprise,operating,11298100
